Time,Time Code,Country Name,Country Code,"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Agriculture, forestry, and fishing, value added (% of GDP) [NV.AGR.TOTL.ZS]",Domestic general government health expenditure (% of GDP) [SH.XPD.GHED.GD.ZS],"Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]","Industry (including construction), value added (% of GDP) [NV.IND.TOTL.ZS]","Manufacturing, value added (% of GDP) [NV.IND.MANF.ZS]","Services, value added (% of GDP) [NV.SRV.TOTL.ZS]",People using at least basic drinking water services (% of population) [SH.H2O.BASW.ZS],"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total) [EN.ATM.PM25.MC.ZS]"
2015,YR2015,Afghanistan,AFG,62.659,20.6343227166798,0.52267277,3.2558000087738,22.1240424906926,11.4200060049012,53.2352934986503,62.3696595585624,100
2015,YR2015,Albania,ALB,78.644,19.7802144171366,2.70778155,3.43796992301941,21.7636809971645,5.67151941669391,46.2844425914396,93.3943239683645,100
2015,YR2015,Algeria,DZA,75.622,10.5327896965018,4.90172052,6.17633008956909,32.7565009315894,7.11001759889613,52.1103711658838,93.4095576469991,100
2015,YR2015,American Samoa,ASM,..,..,..,..,..,..,..,98.7374034091227,100
2015,YR2015,Andorra,AND,..,0.513420109683398,4.9751277,3.28034996986389,9.98126871637019,3.70608985448457,78.6674143272447,100,90.8480627384849
2015,YR2015,Angola,AGO,60.655,9.12253437222206,1.23424065,3.09999990463257,41.9330921928439,5.68514480307257,48.6598885686327,54.316930612657,100
2015,YR2015,Antigua and Barbuda,ATG,77.913,1.44541131496108,3.15658259,2.1441957950592,15.9250271771331,2.80117673122202,73.0892285815855,98.3653622690749,100
2015,YR2015,Argentina,ARG,76.76,5.1566859021408,6.82437325,5.77611017227173,23.153056135905,14.1815854549835,55.8149012843362,98.9823081880311,98.0219286945161
2015,YR2015,Armenia,ARM,74.436,17.2231200318056,1.61,2.80591011047363,25.7086994351611,9.20617105938632,48.2126693907876,99.5245608325277,100
2015,YR2015,Aruba,ABW,75.683,0.0125197884306596,..,5.88826990127563,12.4688230870932,3.58527899141791,79.1390533682379,97.8690233809859,..
2015,YR2015,Australia,AUS,82.4,2.3759901241561,7.23228073,5.46285820007324,23.6809068044195,6.29227941742372,67.1549380758728,99.9700009039845,26.0466667521997
2015,YR2015,Austria,AUT,81.190243902439,1.14362854172989,7.51,5.45658016204834,25.5152402246539,17.242928730216,62.1631640037401,99.9999988248374,91.4744653522326
2015,YR2015,Azerbaijan,AZE,71.451,6.17745494667157,1.31,2.95167994499207,44.8913203383597,4.99062155204119,39.9959543949982,92.5693237263402,100
2015,YR2015,"Bahamas, The",BHS,73.104,0.826771990849819,2.288836,2.29697513580322,11.3117830001971,2.51801334829805,77.9041972600862,98.8869604973405,99.9999999987145
2015,YR2015,Bahrain,BHR,79.405,0.301911232209971,3.23580289,2.66808009147644,39.0907990671172,17.1732865801602,59.7147216888712,99.9295906158634,100
2015,YR2015,Bangladesh,BGD,70.491,14.7829964369364,0.38844827,1.87225413322449,26.8313948329541,16.7886735625088,53.7138319423318,97.3011010904708,100
2015,YR2015,Barbados,BRB,76.65,1.80229026432247,3.19531894,5.17699909210205,14.4271779180173,6.07918758073321,75.3517130178845,98.4744447428319,100
2015,YR2015,Belarus,BLR,73.6243902439025,6.28294961628295,3.69,4.78750991821289,32.6926926926927,20.643977310644,47.7421866310755,98.3308556431228,100
2015,YR2015,Belgium,BEL,80.9926829268293,0.750617272066574,8.24744034,6.4515700340271,19.4767746872729,12.5677314710087,69.4272004004447,99.9999962819912,95.1043453766346
2015,YR2015,Belize,BLZ,73.187,9.61446387451266,3.14627051,5.39020013809204,14.5436720549007,6.96290554250929,62.1736850505005,97.1755914796041,100
2015,YR2015,Benin,BEN,59.377,26.3920850925037,0.59082586,3.17298007011414,16.3850954444902,10.0356700779199,49.2408968968993,65.7627587295769,100
2015,YR2015,Bermuda,BMU,80.918,0.227889496811275,..,1.50163996219635,5.12438047943502,0.5141752075763,90.4111192642738,99.9031400170636,100
2015,YR2015,Bhutan,BTN,70.343,11.9950705237237,2.78964067,5.78269910812378,38.4680946288235,7.31166066657089,43.7448391035289,97.4862232685065,100
2015,YR2015,Bolivia,BOL,67.318,10.2394940992216,4.30645275,8.14342975616455,25.2024162637285,10.1911908657997,45.9764002651322,90.3841680932499,99.9997322955159
2015,YR2015,Bosnia and Herzegovina,BIH,76.182,6.03756695112693,6.4,3.01811289787292,21.7264560489569,11.1177914654178,54.9288363091656,96.1598434809044,100
2015,YR2015,Botswana,BWA,63.818,1.94776486758829,4.13518047,8.39457988739014,37.5439994873569,7.24202388476034,56.8759086148366,88.5124964559895,100
2015,YR2015,Brazil,BRA,74.332,4.31914942942436,3.85384846,6.24105978012085,19.3600439808819,10.5209374565841,62.3078671707317,97.8035647892997,74.9277515309761
2015,YR2015,British Virgin Islands,VGB,75.675,..,..,4.70450019836426,..,..,..,99.8643835616439,..
2015,YR2015,Brunei Darussalam,BRN,74.75,1.10321244189323,2.26836538,..,61.3627776894002,1.6178324732843,39.4304337887703,99.90003757336,0
2015,YR2015,Bulgaria,BGR,74.6146341463415,4.06197577427238,4.13,3.91208434104919,24.0301394911987,..,58.2751717161103,99.2644589337805,99.9662317940315
2015,YR2015,Burkina Faso,BFA,58.845,22.6464984902029,1.45618761,3.67008996009827,24.3613757844362,11.6602964471487,44.0578267356519,50.9135475105506,100
